Design,Category,Color,Size,Material,Price,Year
Pashmina,Dress,White,XS,Nylon,358,2022
Narayanpet,Jeans,Black,XS,Silk,976,2024
Kantha,Dress,Red,M,Wool,818,2020
Seersucker,Shoes,Green,M,Cotton,849,2022
Jamdani,Sweater,White,M,Nylon,443,2022
Gadwal,Jacket,Red,XL,Nylon,645,2024
Pashmina,Jacket,Red,XXL,Polyester,800,2020
Sanganeri,Dress,Red,XS,Denim,866,2020
Muga,Dress,Black,S,Wool,807,2022
Bandhani,Jeans,Yellow,L,Wool,720,2021
Bandhani,Jacket,White,XL,Silk,974,2022
Eri,Jacket,White,XL,Silk,929,2022
Sambalpuri,Jacket,White,S,Nylon,423,2022
Shatoosh,T-shirt,Blue,XL,Polyester,872,2022
Eri,Jacket,Green,S,Nylon,806,2024
Chanderi,Jacket,Green,XXL,Silk,630,2020
Paithani,Jeans,Red,S,Cotton,363,2024
Patola,Shoes,Blue,XS,Polyester,840,2024
Eri,Jeans,Yellow,XL,Denim,489,2024
Gingham,Shoes,Blue,XL,Wool,499,2022
Chettinad,Sweater,Blue,L,Cotton,651,2021
Kullu Shawl,Jeans,Green,S,Cotton,675,2020
Patola,Jacket,Black,L,Denim,464,2021
Gadwal,Jacket,Red,XXL,Wool,494,2024
Kasavu,Jacket,Black,L,Denim,326,2024
Leheriya,Jeans,White,XXL,Nylon,360,2021
Paithani,Dress,Green,L,Polyester,721,2021
Gingham,Shoes,Blue,M,Cotton,1000,2021
Tussar,T-shirt,Red,XS,Denim,490,2024
Damask,Sweater,Yellow,S,Denim,583,2024
Kosa,Dress,Yellow,XL,Nylon,256,2020
Madras Checks,T-shirt,Blue,M,Wool,534,2020
Venkatagiri,Jeans,Black,M,Nylon,431,2024
Ajrakh,Shoes,Black,M,Cotton,761,2021
Kantha,Sweater,Red,XL,Polyester,451,2021
Paisley,Sweater,White,M,Polyester,634,2020
Gingham,Jeans,Green,M,Wool,944,2024
Chanderi,Shoes,Black,XL,Nylon,318,2020
Kotpad,Dress,Yellow,XS,Silk,861,2020
Baluchari,T-shirt,Yellow,XXL,Polyester,578,2022
Gadwal,Jacket,Yellow,M,Silk,532,2022
Kalamkari,Shoes,White,S,Nylon,635,2022
Pashmina,Jacket,Black,XS,Nylon,462,2021
Dabu,Shoes,Blue,XL,Silk,981,2024
Banarasi,T-shirt,Black,XS,Wool,667,2024
Tussar,Jacket,Black,XS,Silk,748,2024
Zardozi,Dress,Red,L,Cotton,624,2024
Jacquard,Shoes,Green,XL,Silk,607,2022
Kalamkari,Jeans,White,XS,Silk,907,2021
Bhagalpuri,Shoes,Black,XL,Wool,336,2021
Patola,Jacket,Black,XXL,Cotton,822,2022
Maheshwari,Jeans,Green,M,Nylon,880,2021
Venkatagiri,Shoes,Yellow,XL,Cotton,592,2022
Paisley,Jacket,White,XS,Silk,630,2024
Baluchari,Jacket,Green,XL,Denim,746,2022
Gingham,Sweater,Black,L,Nylon,908,2024
Jamdani,Jacket,Blue,XXL,Wool,816,2024
Paisley,Sweater,Red,L,Nylon,750,2020
Bomkai,T-shirt,Red,L,Wool,634,2022
Zardozi,Jacket,Green,XXL,Silk,690,2020
Bagru,Shoes,Green,XXL,Cotton,254,2022
Sambalpuri,Jacket,Yellow,XXL,Cotton,427,2022
Jacquard,Jacket,Red,XL,Cotton,617,2020
